,Date,Artist,Song
37,"October 10, 1953",Stan Freberg,"""St. George And The Dragonet"""
38,"November 21, 1953",Tony Bennett,"""Rags To Riches"""
39,"January 2, 1954",Eddie Fisher,"""Oh! My Pa-pa (O Mein Papa)"""
40,"February 27, 1954",Doris Day,"""Secret Love"""
41,"March 13, 1954",Jo Stafford,"""Make Love To Me!"""
42,"April 10, 1954",Perry Como,"""Wanted"""
43,"June 5, 1954",Kitty Kallen,"""Little Things Mean A Lot"" (1954)"
44,"August 7, 1954",The Crew Cuts,"""Sh-Boom"""
45,"September 25, 1954",Rosemary Clooney,"""Hey There"""
46,"November 6, 1954",Rosemary Clooney,"""This Ole House"""
47,"November 13, 1954",Eddie Fisher,"""I Need You Now"""
48,"December 4, 1954",The Chordettes,"""Mr. Sandman"""
49,"January 22, 1955",Joan Weber,"""Let Me Go, Lover!"""
50,"February 5, 1955",The Fontane Sisters,"""Hearts Of Stone"""
51,"February 12, 1955",The McGuire Sisters,"""Sincerely"""
52,"March 26, 1955",Bill Hayes,"""The Ballad Of Davy Crockett"""
53,"April 30, 1955",Pérez Prado,"""Cherry Pink And Apple Blossom White"" (1955)"
54,"July 9, 1955",Bill Haley & His Comets,"""Rock Around The Clock"""
55,"September 3, 1955",Mitch Miller,"""The Yellow Rose of Texas"""
56,"October 15, 1955",The Four Aces,"""Love Is A Many Splendored Thing"""
57,"October 29, 1955",Roger Williams,"""Autumn Leaves"""
58,"November 26, 1955",Tennessee Ernie Ford,"""Sixteen Tons"""
59,"January 14, 1956",Dean Martin,"""Memories Are Made Of This"""
60,"February 18, 1956",Kay Starr,"""Rock And Roll Waltz"""
61,"February 25, 1956",Nelson Riddle,"""Lisbon Antigua"""
62,"March 24, 1956",Les Baxter,"""Poor People Of Paris"""
63,"April 21, 1956",Elvis Presley,"""Heartbreak Hotel"" (1956)"
64,"June 16, 1956",Gogi Grant,"""The Wayward Wind"""
65,"July 28, 1956",Elvis Presley,"""I Want You, I Need You, I Love You"""
66,"August 4, 1956",The Platters,"""My Prayer"""
67,"August 18, 1956",Elvis Presley,"""Don't Be Cruel"" / ""Hound Dog"""
68,"November 3, 1956",Elvis Presley,"""Love Me Tender"""
69,"December 8, 1956",Guy Mitchell,"""Singing The Blues"""
70,"February 9, 1957",Elvis Presley,"""Too Much"""
71,"March 2, 1957",Tab Hunter,"""Young Love"""
72,"March 30, 1957",Buddy Knox,"""Party Doll"""
73,"April 6, 1957",Perry Como,"""Round And Round"""
74,"April 13, 1957",Elvis Presley,"""All Shook Up"" (1957)"
75,"June 8, 1957",Pat Boone,"""Love Letters In The Sand"""
76,"July 13, 1957",Elvis Presley,"""(Let Me Be Your) Teddy Bear"""
77,"August 31, 1957",Debbie Reynolds,"""Tammy"""
78,"September 14, 1957",Paul Anka,"""Diana"""
79,"September 28, 1957",The Crickets,"""That'll Be The Day"""
80,"October 5, 1957",Jimmie Rodgers,"""Honeycomb"""
81,"October 19, 1957",The Everly Brothers,"""Wake Up Little Susie"""
82,"October 26, 1957",Elvis Presley,"""Jailhouse Rock"""
83,"December 7, 1957",Sam Cooke,"""You Send Me"""
84,"December 28, 1957",Pat Boone,"""April Love"""
85,"January 11, 1958",Danny & the Juniors,"""At The Hop"""
86,"February 15, 1958",Elvis Presley,"""Don't"""
87,"March 22, 1958",The Champs,"""Tequila"""
88,"April 26, 1958",The Platters,"""Twilight Time"""
89,"May 3, 1958",David Seville,"""Witch Doctor"""
90,"May 17, 1958",The Everly Brothers,"""All I Have To Do Is Dream"""
91,"June 14, 1958",Sheb Wooley,"""The Purple People Eater"""
92,"July 26, 1958",Elvis Presley,"""Hard Headed Woman"""
