artist,song,decade
Pat Boone,Love Letters In The Sand,1950
Elvis Presley,(Let Me Be Your) Teddy Bear,1950
Debbie Reynolds,Tammy,1950
Paul Anka,Diana,1950
The Crickets,That'll Be The Day,1950
Jimmie Rodgers,Honeycomb,1950
The Everly Brothers,Wake Up Little Susie,1950
Elvis Presley,Jailhouse Rock,1950
Sam Cooke,You Send Me,1950
Pat Boone,April Love,1950
Danny & the Juniors,At The Hop,1950
Elvis Presley,Don't,1950
The Champs,Tequila,1950
The Platters,Twilight Time,1950
David Seville,Witch Doctor,1950
The Everly Brothers,All I Have To Do Is Dream,1950
Sheb Wooley,The Purple People Eater,1950
Elvis Presley,Hard Headed Woman,1950
Ricky Nelson,Poor Little Fool,1950
Domenico Modugno,Volare (Nel blu dipinto di blu),1950
The Elegants,Little Star,1950
Tommy Edwards,It's All in the Game,1950
Conway Twitty,It's Only Make Believe,1950
The Kingston Trio,Tom Dooley,1950
The Teddy Bears,To Know Him Is to Love Him,1950
The Chipmunks with David Seville,The Chipmunk Song,1950
The Platters,Smoke Gets in Your Eyes,1950
Lloyd Price,Stagger Lee,1950
Frankie Avalon,Venus,1950
The Fleetwoods,Come Softly to Me,1950
"Dave ""Baby"" Cortez",The Happy Organ,1950
Wilbert Harrison,Kansas City,1950
Johnny Horton,The Battle of New Orleans,1950
Paul Anka,Lonely Boy,1950
Elvis Presley,A Big Hunk o' Love,1950
The Browns,The Three Bells,1950
Santo & Johnny,Sleep Walk,1950
Bobby Darin,Mack the Knife,1950
The Fleetwoods,Mr. Blue,1950
Guy Mitchell,Heartaches by the Number,1950
Frankie Avalon,Why,1950
Marty Robbins,El Paso,1960
Johnny Preston,Running Bear,1960
Mark Dinning,Teen Angel,1960
Percy Faith,Theme from 'A Summer Place',1960
Elvis Presley,Stuck on You,1960
The Everly Brothers,Cathy's Clown,1960
Connie Francis,Everybody's Somebody's Fool,1960
Hollywood Argyles,Alley-Oop,1960
Brenda Lee,I'm Sorry,1960
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1960
Elvis Presley,It's Now or Never,1960
Chubby Checker,The Twist,1960
Connie Francis,My Heart Has a Mind of Its Own,1960
Larry Verne,Mr. Custer,1960
The Drifters,Save the Last Dance for Me,1960
Brenda Lee,I Want to Be Wanted,1960
Ray Charles,Georgia on My Mind,1960
Maurice Williams and the Zodiacs,Stay,1960
Elvis Presley,Are You Lonesome Tonight?,1960
Bert Kaempfert,Wonderland by Night,1960
The Shirelles,Will You Love Me Tomorrow,1960
Lawrence Welk,Calcutta,1960
Chubby Checker,Pony Time,1960
Elvis Presley,Surrender,1960
The Marcels,Blue Moon,1960
Del Shannon,Runaway,1960
Ernie K-Doe,Mother-in-Law,1960
Ricky Nelson,Travelin' Man,1960
Roy Orbison,Running Scared,1960
Pat Boone,Moody River,1960
Gary U.S. Bonds,Quarter to Three,1960
Bobby Lewis,Tossin' and Turnin',1960
Joe Dowell,Wooden Heart (Muss I Denn),1960
The Highwaymen,Michael,1960
Bobby Vee,Take Good Care of My Baby,1960
Ray Charles,Hit the Road Jack,1960
Dion,Runaround Sue,1960
Jimmy Dean,Big Bad John,1960
The Marvelettes,Please Mr. Postman,1960
The Tokens,The Lion Sleeps Tonight,1960
Chubby Checker,The Twist,1960
Joey Dee and the Starliters,Peppermint Twist,1960
Gene Chandler,Duke of Earl,1960
Bruce Channel,Hey! Baby,1960
Connie Francis,Don't Break the Heart That Loves You,1960
Shelley Fabares,Johnny Angel,1960
Elvis Presley,Good Luck Charm,1960
The Shirelles,Soldier Boy,1960
Mr. Acker Bilk,Stranger on the Shore,1960
Ray Charles,I Can't Stop Loving You,1960
David Rose,The Stripper,1960
Bobby Vinton,Roses Are Red (My Love),1960
Neil Sedaka,Breaking Up Is Hard to Do,1960
Little Eva,The Loco-Motion,1960
Tommy Roe,Sheila,1960
The Four Seasons,Sherry,1960
"Bobby ""Boris"" Pickett and the Crypt-Kickers",Monster Mash,1960
The Crystals,He's a Rebel,1960
The Four Seasons,Big Girls Don't Cry,1960
The Tornados,Telstar,1960
Steve Lawrence,Go Away Little Girl,1960
The Rooftop Singers,Walk Right In,1960
Paul & Paula,Hey Paula,1960
The Four Seasons,Walk Like A Man,1960
Ruby & the Romantics,Our Day Will Come,1960
The Chiffons,He's So Fine,1960
Little Peggy March,I Will Follow Him,1960
Jimmy Soul,If You Wanna Be Happy,1960
Lesley Gore,It's My Party,1960
Kyu Sakamoto,Sukiyaki,1960
The Essex,Easier Said Than Done,1960
Jan and Dean,Surf City,1960
The Tymes,So Much in Love,1960
Little Stevie Wonder,Fingertips,1960
The Angels,My Boyfriend's Back,1960
Bobby Vinton,Blue Velvet,1960
Jimmy Gilmer and the Fireballs,Sugar Shack,1960
Nino Tempo and April Stevens,Deep Purple,1960
Dale & Grace,I'm Leaving It Up to You,1960
The Singing Nun,Dominique,1960
Bobby Vinton,There! I've Said It Again,1960
The Beatles,I Want to Hold Your Hand,1960
The Beatles,She Loves You,1960
The Beatles,Can't Buy Me Love,1960
Louis Armstrong,"Hello, Dolly!",1960
Mary Wells,My Guy,1960
The Beatles,Love Me Do,1960
The Dixie Cups,Chapel of Love,1960
Peter and Gordon,A World Without Love,1960
The Beach Boys,I Get Around,1960
The Four Seasons,Rag Doll,1960
The Beatles,A Hard Day's Night,1960
Dean Martin,Everybody Loves Somebody,1960
The Supremes,Where Did Our Love Go,1960
The Animals,The House of the Rising Sun,1960
Roy Orbison,"Oh, Pretty Woman",1960
Manfred Mann,Do Wah Diddy Diddy,1960
The Supremes,Baby Love,1960
The Shangri-Las,Leader of the Pack,1960
Lorne Greene,Ringo,1960
Bobby Vinton,Mr. Lonely,1960
The Supremes,Come See About Me,1960
The Beatles,I Feel Fine,1960
Petula Clark,Downtown,1960
The Righteous Brothers,You've Lost That Lovin' Feelin',1960
Gary Lewis & The Playboys,This Diamond Ring,1960
The Temptations,My Girl,1960
The Beatles,Eight Days a Week,1960
The Supremes,Stop! In the Name of Love,1960
Freddie and the Dreamers,I'm Telling You Now,1960
Wayne Fontana & The Mindbenders,Game of Love,1960
Herman's Hermits,"Mrs. Brown, You've Got a Lovely Daughter",1960
The Beatles,Ticket to Ride,1960
The Beach Boys,Help Me Rhonda,1960
The Supremes,Back in My Arms Again,1960
Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1960
The Byrds,Mr. Tambourine Man,1960
The Rolling Stones,(I Can't Get No) Satisfaction,1960
Herman's Hermits,"I'm Henry VIII, I Am",1960
Sonny & Cher,I Got You Babe,1960
The Beatles,Help!,1960
Barry McGuire,Eve Of Destruction,1960
The McCoys,Hang On Sloopy,1960
The Beatles,Yesterday,1960
The Rolling Stones,Get Off of My Cloud,1960
The Supremes,I Hear a Symphony,1960
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),1960
The Dave Clark Five,Over and Over,1960
Simon & Garfunkel,The Sound of Silence,1960
The Beatles,We Can Work It Out,1960
Petula Clark,My Love,1960
Lou Christie,Lightnin' Strikes,1960
Nancy Sinatra,These Boots Are Made for Walkin',1960
Barry Sadler,Ballad of the Green Berets,1960
The Righteous Brothers,(You're My) Soul And Inspiration,1960
The Young Rascals,Good Lovin',1960
The Mamas & the Papas,"Monday, Monday",1960
Percy Sledge,When A Man Loves A Woman,1960
The Rolling Stones,Paint It Black,1960
The Beatles,Paperback Writer,1960
Frank Sinatra,Strangers In The Night,1960
Tommy James and the Shondells,Hanky Panky,1960
The Troggs,Wild Thing,1960
The Lovin' Spoonful,Summer in the City,1960
Donovan,Sunshine Superman,1960
The Supremes,You Can't Hurry Love,1960
The Association,Cherish,1960
Four Tops,Reach Out I'll Be There,1960
? & the Mysterians,96 Tears,1960
The Monkees,Last Train to Clarksville,1960
Johnny Rivers,Poor Side Of Town,1960
The Supremes,You Keep Me Hangin' On,1960
The New Vaudeville Band,Winchester Cathedral,1960
The Beach Boys,Good Vibrations,1960
The Monkees,I'm a Believer,1960
The Buckinghams,Kind of a Drag,1960
The Rolling Stones,Ruby Tuesday,1960
The Supremes,Love Is Here and Now You're Gone,1960
The Beatles,Penny Lane,1960
The Turtles,Happy Together,1960
Nancy Sinatra and Frank Sinatra,Somethin' Stupid,1960
The Supremes,The Happening,1960
The Young Rascals,Groovin',1960
Aretha Franklin,Respect,1960
The Association,Windy,1960
The Doors,Light My Fire,1960
The Beatles,All You Need Is Love,1960
Bobbie Gentry,Ode to Billie Joe,1960
Box Tops,The Letter,1960
Lulu,To Sir With Love,1960
Strawberry Alarm Clock,Incense and Peppermints,1960
The Monkees,Daydream Believer,1960
The Beatles,"Hello, Goodbye",1960
John Fred & His Playboy Band,Judy in Disguise (With Glasses),1960
The Lemon Pipers,Green Tambourine,1960
Paul Mauriat,Love Is Blue,1960
Otis Redding,(Sittin' On) The Dock of the Bay,1960
Bobby Goldsboro,Honey,1960
Archie Bell & the Drells,Tighten Up,1960
Simon & Garfunkel,Mrs. Robinson,1960
Herb Alpert,This Guy's in Love with You,1960
Hugh Masekela,Grazing in the Grass,1960
The Doors,"Hello, I Love You",1960
The Rascals,People Got to Be Free,1960
Jeannie C. Riley,Harper Valley P.T.A.,1960
The Beatles,Hey Jude,1960
Diana Ross & the Supremes,Love Child,1960
Marvin Gaye,I Heard It Through the Grapevine,1960
Tommy James and the Shondells,Crimson and Clover,1960
Sly and the Family Stone,Everyday People,1960
Tommy Roe,Dizzy,1960
The 5th Dimension,Aquarius/Let the Sunshine In,1960
The Beatles with Billy Preston,Get Back,1960
Henry Mancini,Love Theme from Romeo and Juliet,1960
Zager and Evans,In the Year 2525,1960
The Rolling Stones,Honky Tonk Women,1960
The Archies,"Sugar, Sugar",1960
The Temptations,I Can't Get Next To You,1960
Elvis Presley,Suspicious Minds,1960
The 5th Dimension,Wedding Bell Blues,1960
The Beatles,Come Together,1960
Steam,Na Na Hey Hey Kiss Him Goodbye,1960
"Peter, Paul & Mary",Leaving on a Jet Plane,1960
Diana Ross & the Supremes,Someday We'll Be Together,1960
B. J. Thomas,Raindrops Keep Fallin' On My Head,1970
The Jackson 5,I Want You Back,1970
Shocking Blue,Venus,1970
Sly & the Family Stone,Thank You (Falettinme Be Mice Elf Agin),1970
Simon & Garfunkel,Bridge Over Troubled Water,1970
The Beatles,Let It Be,1970
The Jackson 5,ABC,1970
The Guess Who,American Woman,1970
Ray Stevens,Everything Is Beautiful,1970
The Beatles,The Long and Winding Road,1970
The Jackson 5,The Love You Save,1970
Three Dog Night,Mama Told Me (Not to Come),1970
The Carpenters,(They Long to Be) Close to You,1970
Bread,Make It with You,1970
Edwin Starr,War,1970
Diana Ross,Ain't No Mountain High Enough,1970
Neil Diamond,Cracklin' Rosie,1970
The Jackson 5,I'll Be There,1970
The Partridge Family,I Think I Love You,1970
Smokey Robinson & the Miracles,The Tears of a Clown,1970
George Harrison,My Sweet Lord,1970
Tony Orlando and Dawn,Knock Three Times,1970
The Osmonds,One Bad Apple,1970
Janis Joplin,Me and Bobby McGee,1970
The Temptations,Just My Imagination (Running Away with Me),1970
"Three Dog Night
",Joy to the World,1970
The Rolling Stones,Brown Sugar,1970
The Honey Cone,Want Ads,1970
Carole King,It's Too Late,1970
Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian),1970
James Taylor,You've Got a Friend,1970
Bee Gees,How Can You Mend a Broken Heart,1970
Paul McCartney,Uncle Albert/Admiral Halsey,1970
Donny Osmond,Go Away Little Girl,1970
Rod Stewart,Maggie May,1970
Cher,"Gypsys, Tramps & Thieves",1970
Isaac Hayes,Theme from Shaft,1970
Sly and the Family Stone,Family Affair,1970
Melanie,Brand New Key,1970
Don McLean,American Pie,1970
Al Green,Let's Stay Together,1970
Nilsson,Without You,1970
Neil Young,Heart of Gold,1970
America,A Horse with No Name,1970
Roberta Flack,The First Time Ever I Saw Your Face,1970
The Chi-Lites,Oh Girl,1970
The Staple Singers,I'll Take You There,1970
Sammy Davis Jr.,Candy Man,1970
Neil Diamond,Song Sung Blue,1970
Bill Withers,Lean On Me,1970
Gilbert O'Sullivan,Alone Again (Naturally),1970
Looking Glass,Brandy (You're a Fine Girl),1970
Three Dog Night,Black and White,1970
Mac Davis,"Baby, Don't Get Hooked on Me",1970
Michael Jackson,Ben,1970
Chuck Berry,My Ding-a-Ling,1970
Johnny Nash,I Can See Clearly Now,1970
The Temptations,Papa Was a Rollin' Stone,1970
Helen Reddy,I Am Woman,1970
Billy Paul,Me and Mrs. Jones,1970
Carly Simon,You're So Vain,1970
Stevie Wonder,Superstition,1970
Elton John,Crocodile Rock,1970
Roberta Flack,Killing Me Softly with His Song,1970
The O'Jays,Love Train,1970
Vicki Lawrence,The Night the Lights Went Out in Georgia,1970
Tony Orlando and Dawn,Tie a Yellow Ribbon Round the Ole Oak Tree,1970
Stevie Wonder,You Are the Sunshine of My Life,1970
The Edgar Winter Group,Frankenstein,1970
Paul McCartney and Wings,My Love,1970
George Harrison,Give Me Love (Give Me Peace On Earth),1970
Billy Preston,Will It Go Round in Circles,1970
Jim Croce,"Bad, Bad Leroy Brown",1970
Maureen McGovern,The Morning After,1970
Diana Ross,Touch Me in the Morning,1970
Stories,Brother Louie,1970
Marvin Gaye,Let's Get It On,1970
Helen Reddy,Delta Dawn,1970
Grand Funk,We're an American Band,1970
Cher,Half-Breed,1970
The Rolling Stones,Angie,1970
Gladys Knight & the Pips,Midnight Train to Georgia,1970
Eddie Kendricks,Keep On Truckin',1970
Ringo Starr,Photograph,1970
The Carpenters,Top of the World,1970
Charlie Rich,The Most Beautiful Girl,1970
Jim Croce,Time in a Bottle,1970
Steve Miller Band,The Joker,1970
Al Wilson,Show and Tell,1970
Ringo Starr,You're Sixteen,1970
Barbra Streisand,The Way We Were,1970
Love Unlimited Orchestra,Love's Theme,1970
Terry Jacks,Seasons in the Sun,1970
Cher,Dark Lady,1970
John Denver,Sunshine on My Shoulders,1970
Blue Swede,Hooked on a Feeling,1970
Elton John,Bennie and the Jets,1970
MFSB,TSOP,1970
Grand Funk,The Loco-Motion,1970
Ray Stevens,The Streak,1970
Paul McCartney and Wings,Band on the Run,1970
Bo Donaldson and The Heywoods,"Billy, Don't Be a Hero",1970
Gordon Lightfoot,Sundown,1970
The Hues Corporation,Rock the Boat,1970
George McCrae,Rock Your Baby,1970
John Denver,Annie's Song,1970
Roberta Flack,Feel Like Makin' Love,1970
Paper Lace,The Night Chicago Died,1970
Paul Anka,(You're) Having My Baby,1970
Eric Clapton,I Shot the Sheriff,1970
Barry White,"Can't Get Enough of Your Love, Babe",1970
Andy Kim,Rock Me Gently,1970
Olivia Newton-John,I Honestly Love You,1970
Billy Preston,Nothing from Nothing,1970
Dionne Warwick,Then Came You,1970
Stevie Wonder,You Haven't Done Nothin',1970
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,1970
John Lennon,Whatever Gets You Thru the Night,1970
Billy Swan,I Can Help,1970
Carl Douglas,Kung Fu Fighting,1970
Harry Chapin,Cat's in the Cradle,1970
Helen Reddy,Angie Baby,1970
Elton John,Lucy in the Sky with Diamonds,1970
Barry Manilow,Mandy,1970
The Carpenters,Please Mr. Postman,1970
Neil Sedaka,Laughter in the Rain,1970
Ohio Players,Fire,1970
Linda Ronstadt,You're No Good,1970
Average White Band,Pick Up the Pieces,1970
Eagles,Best of My Love,1970
Olivia Newton-John,Have You Never Been Mellow,1970
The Doobie Brothers,Black Water,1970
Frankie Valli,My Eyes Adored You,1970
LaBelle,Lady Marmalade,1970
Minnie Riperton,Lovin' You,1970
Elton John,Philadelphia Freedom,1970
B. J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1970
Tony Orlando and Dawn,He Don't Love You (Like I Love You),1970
"Earth, Wind & Fire",Shining Star,1970
Freddy Fender,Before the Next Teardrop Falls,1970
John Denver,Thank God I'm a Country Boy,1970
America,Sister Golden Hair,1970
Captain & Tennille,Love Will Keep Us Together,1970
Paul McCartney and Wings,Listen to What the Man Said,1970
Van McCoy and the Soul City Symphony,The Hustle,1970
Eagles,One of These Nights,1970
Bee Gees,Jive Talkin',1970
"Hamilton, Joe Frank & Reynolds",Fallin' in Love,1970
KC and the Sunshine Band,Get Down Tonight,1970
Glen Campbell,Rhinestone Cowboy,1970
David Bowie,Fame,1970
John Denver,I'm Sorry,1970
Neil Sedaka,Bad Blood,1970
Elton John,Island Girl,1970
KC and the Sunshine Band,That's the Way (I Like It),1970
Silver Convention,"Fly, Robin, Fly",1970
The Staple Singers,Let's Do It Again,1970
Bay City Rollers,Saturday Night,1970
C. W. McCall,Convoy,1970
Barry Manilow,I Write the Songs,1970
Diana Ross,Theme from Mahogany (Do You Know Where You're Going To),1970
Ohio Players,Love Rollercoaster,1970
Paul Simon,50 Ways to Leave Your Lover,1970
Rhythm Heritage,Theme From S.W.A.T.,1970
The Miracles,Love Machine,1970
The Four Seasons,"December 1963 (Oh, What a Night)",1970
Johnnie Taylor,Disco Lady,1970
The Bellamy Brothers,Let Your Love Flow,1970
John Sebastian,Welcome Back,1970
The Sylvers,Boogie Fever,1970
Wings,Silly Love Songs,1970
Diana Ross,Love Hangover,1970
Starland Vocal Band,Afternoon Delight,1970
The Manhattans,Kiss and Say Goodbye,1970
Kiki Dee,Don't Go Breaking My Heart,1970
Bee Gees,You Should Be Dancing,1970
KC and the Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty",1970
Wild Cherry,Play That Funky Music,1970
Walter Murphy and the Big Apple Band,A Fifth of Beethoven,1970
Rick Dees and His Cast of Idiots,Disco Duck,1970
Chicago,If You Leave Me Now,1970
Steve Miller Band,Rock'n Me,1970
Rod Stewart,Tonight's the Night (Gonna Be Alright),1970
Marilyn McCoo,You Don't Have to Be a Star (To Be in My Show),1970
Leo Sayer,You Make Me Feel Like Dancing,1970
Stevie Wonder,I Wish,1970
Rose Royce,Car Wash,1970
Mary MacGregor,Torn Between Two Lovers,1970
Manfred Mann's Earth Band,Blinded by the Light,1970
Eagles,New Kid in Town,1970
Barbra Streisand,Love Theme From A Star Is Born (Evergreen),1970
Daryl Hall and John Oates,Rich Girl,1970
ABBA,Dancing Queen,1970
David Soul,Don't Give Up on Us,1970
Thelma Houston,Don't Leave Me This Way,1970
Glen Campbell,Southern Nights,1970
Eagles,Hotel California,1970
Leo Sayer,When I Need You,1970
Stevie Wonder,Sir Duke,1970
KC and the Sunshine Band,I'm Your Boogie Man,1970
Fleetwood Mac,Dreams,1970
Marvin Gaye,Got to Give It Up (Part 1),1970
Bill Conti,Gonna Fly Now (Theme From Rocky),1970
Alan O'Day,Undercover Angel,1970
Shaun Cassidy,Da Doo Ron Ron,1970
Barry Manilow,Looks Like We Made It,1970
Andy Gibb,I Just Want to Be Your Everything,1970
The Emotions,Best of My Love,1970
Meco,Star Wars Theme/Cantina Band,1970
Debby Boone,You Light Up My Life,1970
Bee Gees,How Deep Is Your Love,1970
Player,Baby Come Back,1970
Bee Gees,Stayin' Alive,1970
Andy Gibb,(Love Is) Thicker Than Water,1970
Bee Gees,Night Fever,1970
Yvonne Elliman,If I Can't Have You,1970
Wings,With a Little Luck,1970
Johnny Mathis,"Too Much, Too Little, Too Late",1970
John Travolta,You're the One That I Want,1970
Andy Gibb,Shadow Dancing,1970
The Rolling Stones,Miss You,1970
Commodores,Three Times a Lady,1970
Frankie Valli,Grease,1970
A Taste of Honey,Boogie Oogie Oogie,1970
Exile,Kiss You All Over,1970
Nick Gilder,Hot Child in the City,1970
Anne Murray,You Needed Me,1970
Donna Summer,MacArthur Park,1970
Barbra Streisand and Neil Diamond,You Don't Bring Me Flowers,1970
Chic,Le Freak,1970
Bee Gees,Too Much Heaven,1970
Rod Stewart,Da Ya Think I'm Sexy?,1970
Gloria Gaynor,I Will Survive,1970
Bee Gees,Tragedy,1970
The Doobie Brothers,What a Fool Believes,1970
Amii Stewart,Knock on Wood,1970
Blondie,Heart of Glass,1970
Peaches & Herb,Reunited,1970
Donna Summer,Hot Stuff,1970
Bee Gees,Love You Inside Out,1970
Anita Ward,Ring My Bell,1970
Donna Summer,Bad Girls,1970
Chic,Good Times,1970
The Knack,My Sharona,1970
Robert John,Sad Eyes,1970
Michael Jackson,Don't Stop 'til You Get Enough,1970
Herb Alpert,Rise,1970
M,Pop Muzik,1970
Eagles,Heartache Tonight,1970
Commodores,Still,1970
Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough),1970
Styx,Babe,1970
Rupert Holmes,Escape (The Piña Colada Song),1970
KC and the Sunshine Band,Please Don't Go,1980
Michael Jackson,Rock with You,1980
Captain & Tennille,Do That to Me One More Time,1980
Queen,Crazy Little Thing Called Love,1980
Pink Floyd,Another Brick in the Wall (Part 2),1980
Blondie,Call Me,1980
"Lipps, Inc.",Funkytown,1980
Paul McCartney,Coming Up (Live at Glasgow),1980
Billy Joel,It's Still Rock and Roll to Me,1980
Olivia Newton-John,Magic,1980
Christopher Cross,Sailing,1980
Diana Ross,Upside Down,1980
Queen,Another One Bites the Dust,1980
Barbra Streisand,Woman in Love,1980
Kenny Rogers,Lady,1980
John Lennon,(Just Like) Starting Over,1980
Blondie,The Tide Is High,1980
Kool & the Gang,Celebration,1980
Dolly Parton,9 to 5,1980
Eddie Rabbitt,I Love a Rainy Night,1980
REO Speedwagon,Keep On Loving You,1980
Blondie,Rapture,1980
Daryl Hall and John Oates,Kiss on My List,1980
Sheena Easton,Morning Train (Nine to Five),1980
Kim Carnes,Bette Davis Eyes,1980
Stars on 45,Stars on 45,1980
Air Supply,The One That You Love,1980
Rick Springfield,Jessie's Girl,1980
Diana Ross,Endless Love,1980
Christopher Cross,Arthur's Theme (Best That You Can Do),1980
Daryl Hall and John Oates,Private Eyes,1980
Olivia Newton-John,Physical,1980
Daryl Hall and John Oates,I Can't Go for That (No Can Do),1980
The J. Geils Band,Centerfold,1980
Joan Jett and the Blackhearts,I Love Rock 'n' Roll,1980
Vangelis,Chariots of Fire,1980
Paul McCartney,Ebony and Ivory,1980
The Human League,Don't You Want Me,1980
Survivor,Eye of the Tiger,1980
Steve Miller Band,Abracadabra,1980
Chicago,Hard to Say I'm Sorry,1980
John Mellencamp,Jack and Diane,1980
Men at Work,Who Can It Be Now,1980
Joe Cocker,Up Where We Belong,1980
Lionel Richie,Truly,1980
Toni Basil,Mickey,1980
Daryl Hall and John Oates,Maneater,1980
Men at Work,Down Under,1980
Toto,Africa,1980
Patti Austin,"Baby, Come to Me",1980
Michael Jackson,Billie Jean,1980
Dexys Midnight Runners,Come On Eileen,1980
Michael Jackson,Beat It,1980
David Bowie,Let's Dance,1980
Irene Cara,Flashdance... What a Feeling,1980
The Police,Every Breath You Take,1980
Eurythmics,Sweet Dreams (Are Made of This),1980
Michael Sembello,Maniac,1980
Billy Joel,Tell Her About It,1980
Bonnie Tyler,Total Eclipse of the Heart,1980
Kenny Rogers,Islands in the Stream,1980
Lionel Richie,All Night Long (All Night),1980
Paul McCartney,"Say, Say, Say",1980
Yes,Owner of a Lonely Heart,1980
Culture Club,Karma Chameleon,1980
Van Halen,Jump,1980
Kenny Loggins,Footloose,1980
Phil Collins,Against All Odds (Take a Look at Me Now),1980
Lionel Richie,Hello,1980
Deniece Williams,Let's Hear It for the Boy,1980
Cyndi Lauper,Time After Time,1980
Duran Duran,The Reflex,1980
Prince,When Doves Cry,1980
"Ray Parker, Jr.",Ghostbusters,1980
Tina Turner,What's Love Got to Do with It,1980
John Waite,Missing You,1980
The Revolution,Let's Go Crazy,1980
Stevie Wonder,I Just Called to Say I Love You,1980
Billy Ocean,Caribbean Queen (No More Love on the Run),1980
Wham!,Wake Me Up Before You Go-Go,1980
Daryl Hall and John Oates,Out of Touch,1980
Madonna,Like a Virgin,1980
Foreigner,I Want to Know What Love Is,1980
Wham!,Careless Whisper,1980
REO Speedwagon,Can't Fight This Feeling,1980
Phil Collins,One More Night,1980
USA for Africa,We Are the World,1980
Madonna,Crazy for You,1980
Simple Minds,Don't You (Forget About Me),1980
Wham!,Everything She Wants,1980
Tears for Fears,Everybody Wants to Rule the World,1980
Bryan Adams,Heaven,1980
Phil Collins,Sussudio,1980
Duran Duran,A View to a Kill,1980
Paul Young,Everytime You Go Away,1980
Tears for Fears,Shout,1980
Huey Lewis and the News,The Power of Love,1980
John Parr,St. Elmo's Fire (Man in Motion),1980
Dire Straits,Money for Nothing,1980
Ready for the World,Oh Sheila,1980
a-ha,Take On Me,1980
Whitney Houston,Saving All My Love for You,1980
Stevie Wonder,Part-Time Lover,1980
Jan Hammer,Miami Vice Theme,1980
Starship,We Built This City,1980
